Person,431431273409005431,,,,,,,,
Person,807135241152364790,,,,,,,
Publication,,,,,368643,4/2/2044,,,
Person,932895311023601824,,,,,,,
Person,658360345058922004,,,,,,
Person,1269709,,,,,,,,
Topic,,,,,,65041978,,,
Person,837171411398323710,,,,,,,,
Person,934958354522954259,,,,,,,,
Person,1020025214795124607,,,,,,,,
Person,473924020503214507,,,,,,,,
Person,634654326586443433,,,,,,,,
Person,1516080494293584947,,,,,,,,
Topic,,,,,,45501648,,,
Person,317796505398714755,,,,,,,,
Person,700710944029953145,,,,,,,,
Publication,,,,,102583151124020340,,4/1/2013,,
Publication,,,,,1441460224192653456,,2/5/2013,,
Publication,,,,,1001439604382572342,,6/10/2015,,
Publication,,,,,851052139552387944,,6/1/2016,,
Publication,,,,,1355552336182081351,,6/4/2015,,
Publication,,,,,287053754546051552,,10/1/2016,,
Publication,,,,,1365373207471170755,,1/1/2015,,
Publication,,,,,452039233222140904,,4/1/2015,,
Publication,,,,,334405668425082220,,5/1/2016,,
Publication,,,,,735469875782320156,,6/1/2015,,
Publication,,,,,783723036211513225,,1/1/2015,,
Publication,,,,,1660042254514233352,,6/9/2015,,
Publication,,,,,712352318264392243,,6/12/2015,,
Publication,,,,,250154922550135221,,5/1/2016,,
Publication,,,,,1441952661053066783,,6/20/2015,,
Publication,,,,,1015449653021456446,,1/1/2015,,
Publication,,,,,1070959463556532333,,7/1/2015,,
Publication,,,,,459371182418742306,,6/1/2015,,
Publication,,,,,1032169372740388695,,11/1/2014,,
Publication,,,,,1059140214328233095,,7/1/2015,,
Publication,,,,,340327232413453344,,7/1/2015,,
Publication,,,,,435753623101454263,,1/1/2013,,
Publication,,,,,832805140415277264,,6/22/2015,,
Publication,,,,,671631614591460597,,1/1/2013,,
Publication,,,,,759510523447219140,,7/9/2015,,
Publication,,,,,422642197240061618,,7/6/2015,,
Publication,,,,,1053587651675127199,,7/3/2015,,
Publication,,,,,1446555682279435252,,5/4/2015,,
Publication,,,,,464549131313388932,,5/1/2013,,
Publication,,,,,1353605194530783528,,5/1/2013,,
Publication,,,,,1591151668001439363,,11/1/2015,,
Publication,,,,,276754230490964551,,10/1/2015,,
Publication,,,,,818332671025352149,,1/1/2013,,
Publication,,,,,1178069359554257571,,1/2/2016,,
Publication,,,,,1531312241791662651,,1/1/2013,,
Publication,,,,,338561072324081956,,5/4/2015,,
